filename,kernel_name,compilation_success,execution_success,time_us,time_ms,error
10003_2_deltaCalcOutput.cu,10003_2_deltaCalcOutput,True,True,8.0038,0.0080038,
10008_81_softmax_gradient_kernel.cu,10008_81_softmax_gradient_kernel,True,True,8.52477,0.00852477,
1000_24_transposedMatrixKernel.cu,1000_24_transposedMatrixKernel,True,True,8.23261,0.00823261,
1000_25_additionMatricesKernel.cu,1000_25_additionMatricesKernel,True,True,8.19156,0.00819156,
1000_26_additionMatricesKernel.cu,1000_26_additionMatricesKernel,True,True,8.2949,0.0082949,
1000_27_transposedMatrixKernel.cu,1000_27_transposedMatrixKernel,True,True,7.92496,0.00792496,
1000_28_additionMatricesKernel.cu,1000_28_additionMatricesKernel,True,True,8.22458,0.00822458,
1000_29_matrixKernel.cu,1000_29_matrixKernel,True,True,7.87464,0.00787464,
1000_5_kernel.cu,1000_5_kernel,True,True,8.13485,0.00813485,
1001_0_grayscaleVer2D.cu,1001_0_grayscaleVer2D,True,True,8.28874,0.00828874,
10024_0_cuda_cmp_kernel.cu,10024_0_cuda_cmp_kernel,True,True,8.20519,0.00820519,
10047_0_add.cu,10047_0_add,True,True,8.26406,0.00826406,
10047_1_add.cu,10047_1_add,True,True,7.56984,0.00756984,
1006_0_kernel_example.cu,1006_0_kernel_example,True,True,8.23953,0.00823953,
1008_0_blob_rearrange_kernel2_1d.cu,1008_0_blob_rearrange_kernel2_1d,True,True,8.25668,0.00825668,
1008_7_blob_rearrange_kernel2.cu,1008_7_blob_rearrange_kernel2,True,True,8.11146,0.00811146,
10121_0_MedianFilter_gpu.cu,10121_0_MedianFilter_gpu,True,True,4.80728,0.00480728,
10121_1_addKernel.cu,10121_1_addKernel,True,True,7.87856,0.00787856,
10121_3_reduce.cu,10121_3_reduce,True,True,7.90167,0.00790167,
10121_5_reduce.cu,10121_5_reduce,True,True,8.26547,0.00826547,
10126_2_conv2genericrev.cu,10126_2_conv2genericrev,True,True,4.67274,0.00467274,
10220_1_hello.cu,10220_1_hello,True,True,8.18985,0.00818985,
10223_26_phglobal_reduce_kernel.cu,10223_26_phglobal_reduce_kernel,True,True,8.20454,0.00820454,
10242_0_kernel.cu,10242_0_kernel,True,True,4557.73,4.55773,
10270_2_conv2genericrev.cu,10270_2_conv2genericrev,True,True,4.80087,0.00480087,
1029_0_gpu_grayscale.cu,1029_0_gpu_grayscale,True,True,8.00111,0.00800111,
1029_1_gpu_gaussian.cu,1029_1_gpu_gaussian,True,True,4.56161,0.00456161,
1029_2_gpu_sobel.cu,1029_2_gpu_sobel,True,True,4.60335,0.00460335,
10383_0_batcherBitonicMergesort64.cu,10383_0_batcherBitonicMergesort64,True,True,8.18307,0.00818307,
10383_20_global_reduce_kernel.cu,10383_20_global_reduce_kernel,True,True,8.2265,0.0082265,
10383_21_shmem_reduce_kernel.cu,10383_21_shmem_reduce_kernel,True,True,7.96488,0.00796488,
10383_24_hello.cu,10383_24_hello,True,True,7.85916,0.00785916,
10383_28_hello.cu,10383_28_hello,True,True,8.156,0.008156,
10383_9_remove_redness_from_coordinates.cu,10383_9_remove_redness_from_coordinates,True,True,15.8779,0.0158779,
10393_4_relu.cu,10393_4_relu,True,True,8.43857,0.00843857,
