filename,kernel_name,compilation_success,execution_success,time_us,time_ms,error
16427_1_horspool_match.cu,16427_1_horspool_match,True,True,1788.82,1.78882,
1643_11_FluffyTail.cu,1643_11_FluffyTail,True,True,3.71482,0.00371482,
1_0_euclidean_kernel.cu,1_0_euclidean_kernel,True,True,7.41602,0.00741602,
1_14_getColNorms.cu,1_14_getColNorms,True,True,179.395,0.179395,
1_15_gpuFindMax.cu,1_15_gpuFindMax,True,True,197.638,0.197638,
1_16_gpuSwapCol.cu,1_16_gpuSwapCol,True,True,6.95772,0.00695772,
1_17_makeHVector.cu,1_17_makeHVector,True,True,65.1677,0.0651677,
1_18_UpdateHHNorms.cu,1_18_UpdateHHNorms,True,True,5.51351,0.00551351,
1_19_gpuKendall.cu,1_19_gpuKendall,True,True,1.67681,0.00167681,
1_1_euclidean_kernel_same.cu,1_1_euclidean_kernel_same,True,True,6.46389,0.00646389,
1_20_getRestricted.cu,1_20_getRestricted,True,True,12922.4,12.9224,
1_21_getUnrestricted.cu,1_21_getUnrestricted,True,True,3340.75,3.34075,
1_22_ftest.cu,1_22_ftest,True,True,197.413,0.197413,
1_2_maximum_kernel.cu,1_2_maximum_kernel,True,True,7.16942,0.00716942,
1_36_gpuMeans.cu,1_36_gpuMeans,True,True,12.1527,0.0121527,
1_37_gpuSD.cu,1_37_gpuSD,True,True,13.7758,0.0137758,
1_38_gpuPMCC.cu,1_38_gpuPMCC,True,True,18.7483,0.0187483,
1_39_gpuMeansNoTest.cu,1_39_gpuMeansNoTest,True,True,12.1942,0.0121942,
1_3_maximum_kernel_same.cu,1_3_maximum_kernel_same,True,True,6.06037,0.00606037,
1_40_gpuSDNoTest.cu,1_40_gpuSDNoTest,True,True,13.8973,0.0138973,
1_41_gpuPMCCNoTest.cu,1_41_gpuPMCCNoTest,True,True,18.3526,0.0183526,
1_42_gpuSignif.cu,1_42_gpuSignif,True,True,199.146,0.199146,
1_43_dUpdateSignif.cu,1_43_dUpdateSignif,True,True,230.496,0.230496,
1_44_noNAsPmccMeans.cu,1_44_noNAsPmccMeans,True,True,1.6474,0.0016474,
1_45_scale.cu,1_45_scale,True,True,1073.18,1.07318,
1_46_get_bin_scores.cu,1_46_get_bin_scores,True,True,6036.59,6.03659,
1_47_get_entropy.cu,1_47_get_entropy,True,True,1763.68,1.76368,
1_48_get_mi.cu,1_48_get_mi,True,True,18255.4,18.2554,
