filename,kernel_name,compilation_success,execution_success,time_us,time_ms,error
10003_2_deltaCalcOutput.cu,10003_2_deltaCalcOutput,True,True,0.075397,7.5397e-05,
10008_81_softmax_gradient_kernel.cu,10008_81_softmax_gradient_kernel,True,True,0.07032,7.032e-05,
1000_24_transposedMatrixKernel.cu,1000_24_transposedMatrixKernel,True,True,0.067752,6.7752e-05,
1000_25_additionMatricesKernel.cu,1000_25_additionMatricesKernel,True,True,0.068978,6.8978e-05,
1000_26_additionMatricesKernel.cu,1000_26_additionMatricesKernel,True,True,0.068879,6.8879e-05,
1000_27_transposedMatrixKernel.cu,1000_27_transposedMatrixKernel,True,True,0.067714,6.7714e-05,
1000_28_additionMatricesKernel.cu,1000_28_additionMatricesKernel,True,True,0.068729,6.8729e-05,
1000_29_matrixKernel.cu,1000_29_matrixKernel,True,True,0.071045,7.1045e-05,
1000_5_kernel.cu,1000_5_kernel,True,True,0.058613,5.8613e-05,
1001_0_grayscaleVer2D.cu,1001_0_grayscaleVer2D,True,True,0.070366,7.0366e-05,
10024_0_cuda_cmp_kernel.cu,10024_0_cuda_cmp_kernel,True,True,0.070235,7.0235e-05,
10047_0_add.cu,10047_0_add,True,True,0.072042,7.2042e-05,
10047_1_add.cu,10047_1_add,True,True,0.070565,7.0565e-05,
1006_0_kernel_example.cu,1006_0_kernel_example,True,True,0.068801,6.8801e-05,
1008_0_blob_rearrange_kernel2_1d.cu,1008_0_blob_rearrange_kernel2_1d,True,True,0.082631,8.2631e-05,
1008_7_blob_rearrange_kernel2.cu,1008_7_blob_rearrange_kernel2,True,True,0.082317,8.2317e-05,
10121_0_MedianFilter_gpu.cu,10121_0_MedianFilter_gpu,True,True,0.068768,6.8768e-05,
10121_1_addKernel.cu,10121_1_addKernel,True,True,0.068839,6.8839e-05,
10121_3_reduce.cu,10121_3_reduce,True,True,0.070923,7.0923e-05,
10121_5_reduce.cu,10121_5_reduce,True,True,0.067667,6.7667e-05,
10126_2_conv2genericrev.cu,10126_2_conv2genericrev,True,True,0.109085,0.000109085,
10220_1_hello.cu,10220_1_hello,True,True,0.063271,6.3271e-05,
10223_26_phglobal_reduce_kernel.cu,10223_26_phglobal_reduce_kernel,True,True,0.065946,6.5946e-05,
10242_0_kernel.cu,10242_0_kernel,True,True,0.070034,7.0034e-05,
10270_2_conv2genericrev.cu,10270_2_conv2genericrev,True,True,0.091829,9.1829e-05,
