filename,comp,ld1,st1,ld0,st0,L1,L2,execution_time,comm_gm,comm_sm,total_cost,units,R,P,lambda,g_GM,g_L1,g_L2,g_SM,error,filepath
11022_6_dummy.cu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11022_6_dummy.cu
11022_6_dummy.ptx,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.814697265625e-05,0.0,0.0,1.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11022_6_dummy.ptx
11647_0_add.cu,12.0,2.4,1.6,0.0,0.0,2.8,0.8,0.007965087890625002,196.80000000000004,0.0,208.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_0_add.cu
11647_0_add.ptx,11.0,6.0,2.0,0.0,0.0,5.0,1.0,0.03292083740234375,852.0,0.0,863.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_0_add.ptx
11647_10_add.cu,12.0,2.4,1.6,0.0,0.0,2.8,0.8,0.007965087890625002,196.80000000000004,0.0,208.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_10_add.cu
11647_10_add.ptx,11.0,6.0,2.0,0.0,0.0,5.0,1.0,0.03292083740234375,852.0,0.0,863.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_10_add.ptx
11647_1_add.cu,20.0,4.8,3.2,4.0,3.0,5.6,1.6,0.016845703125000003,393.6000000000001,28.0,441.6000000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_1_add.cu
11647_1_add.ptx,19.0,7.0,3.0,2.0,1.0,7.0,2.0,0.01995086669921875,492.0,12.0,523.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_1_add.ptx
11647_2_add.cu,12.0,2.4,1.6,0.0,0.0,2.8,0.8,0.007965087890625002,196.80000000000004,0.0,208.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_2_add.cu
11647_2_add.ptx,11.0,6.0,2.0,0.0,0.0,5.0,1.0,0.03292083740234375,852.0,0.0,863.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_2_add.ptx
11647_3_add.cu,12.0,2.4,1.6,0.0,0.0,2.8,0.8,0.007965087890625002,196.80000000000004,0.0,208.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_3_add.cu
11647_3_add.ptx,11.0,6.0,2.0,0.0,0.0,5.0,1.0,0.03292083740234375,852.0,0.0,863.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_3_add.ptx
11647_4_add.cu,12.0,2.4,1.6,0.0,0.0,2.8,0.8,0.007965087890625002,196.80000000000004,0.0,208.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_4_add.cu
11647_4_add.ptx,11.0,6.0,2.0,0.0,0.0,5.0,1.0,0.03292083740234375,852.0,0.0,863.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11647_4_add.ptx
