filename,kernel_name,compilation_success,execution_success,time_us,time_ms,error
16427_1_horspool_match.cu,16427_1_horspool_match,True,True,280.921,0.280921,
1643_11_FluffyTail.cu,1643_11_FluffyTail,True,True,3.00071,0.00300071,
1_0_euclidean_kernel.cu,1_0_euclidean_kernel,True,True,5.69899,0.00569899,
1_14_getColNorms.cu,1_14_getColNorms,True,True,44.4442,0.0444442,
1_15_gpuFindMax.cu,1_15_gpuFindMax,True,True,6.63253,0.00663253,
1_16_gpuSwapCol.cu,1_16_gpuSwapCol,True,True,3.80746,0.00380746,
1_17_makeHVector.cu,1_17_makeHVector,True,True,30.9409,0.0309409,
1_18_UpdateHHNorms.cu,1_18_UpdateHHNorms,True,True,4.66737,0.00466737,
1_19_gpuKendall.cu,1_19_gpuKendall,True,True,1.66865,0.00166865,
1_1_euclidean_kernel_same.cu,1_1_euclidean_kernel_same,True,True,4.51588,0.00451588,
1_20_getRestricted.cu,1_20_getRestricted,True,True,16893.9,16.8939,
1_21_getUnrestricted.cu,1_21_getUnrestricted,True,True,1185.78,1.18578,
1_22_ftest.cu,1_22_ftest,True,True,99.7705,0.0997705,
1_2_maximum_kernel.cu,1_2_maximum_kernel,True,True,6.90312,0.00690312,
1_36_gpuMeans.cu,1_36_gpuMeans,True,True,15.5286,0.0155286,
1_37_gpuSD.cu,1_37_gpuSD,True,True,14.9626,0.0149626,
1_38_gpuPMCC.cu,1_38_gpuPMCC,True,True,11.4742,0.0114742,
1_39_gpuMeansNoTest.cu,1_39_gpuMeansNoTest,True,True,13.0949,0.0130949,
1_3_maximum_kernel_same.cu,1_3_maximum_kernel_same,True,True,4.43194,0.00443194,
1_40_gpuSDNoTest.cu,1_40_gpuSDNoTest,True,True,13.6999,0.0136999,
1_41_gpuPMCCNoTest.cu,1_41_gpuPMCCNoTest,True,True,11.0735,0.0110735,
1_42_gpuSignif.cu,1_42_gpuSignif,True,True,144.79,0.14479,
1_43_dUpdateSignif.cu,1_43_dUpdateSignif,True,True,214.769,0.214769,
1_44_noNAsPmccMeans.cu,1_44_noNAsPmccMeans,True,True,1.64328,0.00164328,
1_45_scale.cu,1_45_scale,True,True,638.11,0.63811,
1_46_get_bin_scores.cu,1_46_get_bin_scores,True,True,3967.27,3.96727,
1_47_get_entropy.cu,1_47_get_entropy,True,True,727.027,0.727027,
1_48_get_mi.cu,1_48_get_mi,True,True,7635.39,7.63539,
