filename,kernel_name,compilation_success,execution_success,time_us,time_ms,error
16427_1_horspool_match.cu,16427_1_horspool_match,True,True,318.572,0.318572,
1643_11_FluffyTail.cu,1643_11_FluffyTail,True,True,2.73894,0.00273894,
1_0_euclidean_kernel.cu,1_0_euclidean_kernel,True,True,4.19384,0.00419384,
1_14_getColNorms.cu,1_14_getColNorms,True,True,50.2038,0.0502038,
1_15_gpuFindMax.cu,1_15_gpuFindMax,True,True,6.38845,0.00638845,
1_16_gpuSwapCol.cu,1_16_gpuSwapCol,True,True,2.55472,0.00255472,
1_17_makeHVector.cu,1_17_makeHVector,True,True,19.956,0.019956,
1_18_UpdateHHNorms.cu,1_18_UpdateHHNorms,True,True,2.34635,0.00234635,
1_19_gpuKendall.cu,1_19_gpuKendall,True,True,1.58207,0.00158207,
1_1_euclidean_kernel_same.cu,1_1_euclidean_kernel_same,True,True,4.30096,0.00430096,
1_20_getRestricted.cu,1_20_getRestricted,True,True,8917.25,8.91725,
1_21_getUnrestricted.cu,1_21_getUnrestricted,True,True,813.139,0.813139,
1_22_ftest.cu,1_22_ftest,True,True,102.51,0.10251,
1_2_maximum_kernel.cu,1_2_maximum_kernel,True,True,4.10905,0.00410905,
1_36_gpuMeans.cu,1_36_gpuMeans,True,True,7.29761,0.00729761,
1_37_gpuSD.cu,1_37_gpuSD,True,True,6.57098,0.00657098,
1_38_gpuPMCC.cu,1_38_gpuPMCC,True,True,9.14841,0.00914841,
1_39_gpuMeansNoTest.cu,1_39_gpuMeansNoTest,True,True,6.09407,0.00609407,
1_3_maximum_kernel_same.cu,1_3_maximum_kernel_same,True,True,4.29939,0.00429939,
1_40_gpuSDNoTest.cu,1_40_gpuSDNoTest,True,True,5.68492,0.00568492,
1_41_gpuPMCCNoTest.cu,1_41_gpuPMCCNoTest,True,True,9.88151,0.00988151,
1_42_gpuSignif.cu,1_42_gpuSignif,True,True,145.309,0.145309,
1_43_dUpdateSignif.cu,1_43_dUpdateSignif,True,True,104.108,0.104108,
1_44_noNAsPmccMeans.cu,1_44_noNAsPmccMeans,True,True,1.576,0.001576,
1_45_scale.cu,1_45_scale,True,True,570.505,0.570505,
1_46_get_bin_scores.cu,1_46_get_bin_scores,True,True,2234.48,2.23448,
1_47_get_entropy.cu,1_47_get_entropy,True,True,612.379,0.612379,
1_48_get_mi.cu,1_48_get_mi,True,True,6584.83,6.58483,
