total_threads,measured_overhead_us,old_formula_us,ratio
32,1.6169,42600.4,3.79549e-05
64,1.61894,42600.8,3.80027e-05
128,1.40595,42601.6,3.30023e-05
256,1.38342,42603.2,3.24723e-05
512,1.38547,42606.5,3.25179e-05
1024,1.51654,42612.9,3.55888e-05
2048,1.61178,42625.8,3.78122e-05
4096,1.6169,42651.6,3.79094e-05
8192,1.61997,42703.2,3.79355e-05
16384,1.62099,42806.4,3.78679e-05
32768,1.62509,43012.9,3.77814e-05
65536,7.59091,43425.8,0.000174802
