total_threads,measured_overhead_us,old_formula_us,ratio
32,2.27232,42600.4,5.33403e-05
64,2.27533,42600.8,5.34104e-05
128,2.26691,42601.6,5.32119e-05
256,2.27123,42603.2,5.33113e-05
512,2.44691,42606.5,5.74305e-05
1024,2.28355,42612.9,5.35883e-05
2048,2.27504,42625.8,5.33724e-05
4096,2.28022,42651.6,5.34616e-05
8192,2.26304,42703.2,5.29946e-05
16384,2.28291,42806.4,5.3331e-05
32768,2.272,43012.9,5.28214e-05
65536,2.26013,43425.8,5.20458e-05
