num_blocks,threads_per_block,total_threads,empty_kernel_us,single_op_us,minimal_us,launch_overhead_us
1,32,32,1.51859,1.88211,1.88518,1.51859
1,64,64,4.68275,1.88518,1.88723,4.68275
1,128,128,1.38342,1.88211,1.88109,1.38342
1,256,256,1.38342,1.88109,3.43245,1.38342
1,512,512,1.38346,4.70733,4.82714,1.38346
1,1024,1024,1.99782,4.79437,6.96938,1.99782
2,32,64,1.61792,1.88016,1.88314,1.61792
4,32,128,1.61898,1.95994,2.00192,1.61898
8,32,256,1.61894,2.06336,2.09101,1.61894
16,32,512,1.61894,6.1399,5.46816,1.61894
32,32,1024,1.61997,5.41696,7.10451,1.61997
2,256,512,1.3865,1.88115,1.88211,1.3865
4,256,1024,1.52374,1.95584,1.99075,1.52374
8,256,2048,1.61075,5.11181,5.2265,1.61075
16,256,4096,1.61382,6.85978,6.96013,1.61382
32,256,8192,1.61894,6.38464,4.74419,1.61894
5,225,1125,1.52883,1.90874,1.93229,1.52883
25,225,5625,2.68902,6.51776,5.376,2.68902
64,256,16384,1.62202,7.5264,6.97139,1.62202
128,256,32768,1.62099,6.50138,4.7401,1.62099
256,256,65536,1.87699,5.52653,4.88141,1.87699
512,256,131072,6.45632,7.68922,9.92973,6.45632
100,100,10000,1.62099,9.10643,5.7088,1.62099
200,200,40000,1.86778,7.10656,7.10246,1.86778
500,200,100000,5.75078,9.33274,7.7015,5.75078
