total_threads,measured_overhead_us,old_formula_us,ratio
32,2.69549,42600.4,6.32738e-05
64,2.49392,42600.8,5.85416e-05
128,2.50598,42601.6,5.88237e-05
256,2.50317,42603.2,5.87554e-05
512,2.45341,42606.5,5.7583e-05
1024,2.46147,42612.9,5.77635e-05
2048,2.4752,42625.8,5.80681e-05
4096,2.47152,42651.6,5.79467e-05
8192,2.4753,42703.2,5.79651e-05
16384,2.50349,42806.4,5.84839e-05
32768,2.5167,43012.9,5.85105e-05
65536,2.56595,43425.8,5.90883e-05
