num_blocks,threads_per_block,total_threads,empty_kernel_us,single_op_us,minimal_us,launch_overhead_us
1,32,32,2.58422,2.56435,2.53053,2.58422
1,64,64,2.57888,2.55414,2.45344,2.57888
1,128,128,2.5041,2.45139,2.41821,2.5041
1,256,256,2.49709,2.45398,2.41507,2.49709
1,512,512,2.50013,2.45539,2.43267,2.50013
1,1024,1024,2.50266,2.45194,2.4385,2.50266
2,32,64,2.50016,2.45555,2.43302,2.50016
4,32,128,2.50346,2.45629,2.432,2.50346
8,32,256,2.51901,2.45866,2.43392,2.51901
16,32,512,2.52096,2.45456,2.44474,2.52096
32,32,1024,2.5423,2.45069,2.42477,2.5423
2,256,512,2.50458,2.45565,2.43005,2.50458
4,256,1024,2.50102,2.45814,2.42582,2.50102
8,256,2048,2.50678,2.53558,2.45635,2.50678
16,256,4096,2.53914,2.44048,2.40547,2.53914
32,256,8192,2.52352,2.44954,2.4416,2.52352
5,225,1125,2.51142,2.45795,2.42864,2.51142
25,225,5625,2.51466,2.44902,2.42973,2.51466
64,256,16384,2.54806,2.54,2.54179,2.54806
128,256,32768,2.49062,2.74432,2.75558,2.49062
256,256,65536,2.41027,3.2073,3.20691,2.41027
512,256,131072,2.74752,3.95322,3.96557,2.74752
100,100,10000,2.48131,2.58602,2.57398,2.48131
200,200,40000,2.42109,2.89795,2.89734,2.42109
500,200,100000,2.73418,3.78218,3.7913,2.73418
